arch,IPC,Variant,dseed,pseed,F1 macro (%),F1 weighted (%)
clip_vitb,5.0,real_random,2024.0,4,49.95746906790017,60.33924313388566
clip_vitb,5.0,real_medoids,2024.0,0,57.0413810292939,65.14023886915102
clip_vitb,5.0,real_medoids,2024.0,1,57.112368276874236,64.87329808702785
clip_vitb,5.0,real_medoids,2024.0,2,57.338114456412626,66.28954396389423
clip_vitb,5.0,real_medoids,2024.0,3,57.63048588288028,65.61489225615671
clip_vitb,5.0,real_medoids,2024.0,4,56.514448133815776,64.25114789603329
clip_vitb,5.0,real_random,7.0,0,48.04175356066088,56.05008474151922
clip_vitb,5.0,real_random,7.0,1,48.609791757707654,57.52693490996194
clip_vitb,5.0,real_random,7.0,2,47.71320544771256,56.413853006801205
clip_vitb,5.0,real_random,7.0,3,47.74875757404359,57.06831663111585
clip_vitb,5.0,real_random,7.0,4,49.256861017786164,57.478540528956366
clip_vitb,5.0,real_medoids,7.0,0,56.09623228252016,64.54485400096145
clip_vitb,5.0,real_medoids,7.0,1,56.95764031214862,64.2874673204838
clip_vitb,5.0,real_medoids,7.0,2,57.39056079263144,65.27340585916444
clip_vitb,5.0,real_medoids,7.0,3,56.588787186916974,64.86195905565403
clip_vitb,5.0,real_medoids,7.0,4,56.253907530454285,63.283905325848636
mocov3_vitb,,full,,0,82.08505899885687,87.24160196879217
mocov3_vitb,,full,,1,82.59190754375024,87.28434196480546
mocov3_vitb,,full,,2,82.44875579234152,87.28259384253779
mocov3_vitb,,full,,3,81.59051590015075,87.18860835165235
mocov3_vitb,,full,,4,82.58130751790858,87.29253842920684
mocov3_vitb,1.0,real_random,3407.0,0,43.791771116370505,49.218734929565514
mocov3_vitb,1.0,real_random,3407.0,1,45.8465168788832,48.39017755346346
mocov3_vitb,1.0,real_random,3407.0,2,43.76202931374532,48.146317830482324
mocov3_vitb,1.0,real_random,3407.0,3,45.16469322892334,50.40916445922041
mocov3_vitb,1.0,real_random,3407.0,4,44.72844055380769,48.22447868755652
mocov3_vitb,1.0,real_medoids,3407.0,0,61.804363297424395,72.9115980022762
mocov3_vitb,1.0,real_medoids,3407.0,1,60.18524368118816,72.65516911761608
mocov3_vitb,1.0,real_medoids,3407.0,2,61.679949344243056,73.58765098980845
mocov3_vitb,1.0,real_medoids,3407.0,3,60.80542504949258,73.32464040339889
mocov3_vitb,1.0,real_medoids,3407.0,4,60.243937199530876,72.42380576385654
mocov3_vitb,1.0,real_random,42.0,0,55.37073956107825,63.239626334909126
mocov3_vitb,1.0,real_random,42.0,1,54.248637594938934,61.62062109839207
mocov3_vitb,1.0,real_random,42.0,2,53.84998518870737,62.00603839563058
mocov3_vitb,1.0,real_random,42.0,3,54.977311689534034,62.38167700254591
mocov3_vitb,1.0,real_random,42.0,4,54.793654583136565,61.251554341973424
mocov3_vitb,1.0,real_medoids,42.0,0,61.804363297424395,72.9115980022762
mocov3_vitb,1.0,real_medoids,42.0,1,60.18524368118816,72.65516911761608
mocov3_vitb,1.0,real_medoids,42.0,2,61.679949344243056,73.58765098980845
mocov3_vitb,1.0,real_medoids,42.0,3,60.80542504949258,73.32464040339889
mocov3_vitb,1.0,real_medoids,42.0,4,60.243937199530876,72.42380576385654
mocov3_vitb,1.0,real_random,1234.0,0,42.686758103371716,48.74939380813268
mocov3_vitb,1.0,real_random,1234.0,1,42.88975186780335,51.07863884709466
mocov3_vitb,1.0,real_random,1234.0,2,42.019588959102656,48.66335516932537
mocov3_vitb,1.0,real_random,1234.0,3,41.45184852964707,47.94611069007521
mocov3_vitb,1.0,real_random,1234.0,4,41.4766040703136,48.00353850643827
mocov3_vitb,1.0,real_medoids,1234.0,0,61.804363297424395,72.9115980022762
mocov3_vitb,1.0,real_medoids,1234.0,1,60.18524368118816,72.65516911761608
mocov3_vitb,1.0,real_medoids,1234.0,2,61.679949344243056,73.58765098980845
mocov3_vitb,1.0,real_medoids,1234.0,3,60.80542504949258,73.32464040339889
mocov3_vitb,1.0,real_medoids,1234.0,4,60.243937199530876,72.42380576385654
mocov3_vitb,1.0,real_random,2024.0,0,48.19951829406687,57.66775796691396
mocov3_vitb,1.0,real_random,2024.0,1,49.476814466988905,58.21669756413724
mocov3_vitb,1.0,real_random,2024.0,2,49.07199848151615,57.858956374873074
mocov3_vitb,1.0,real_random,2024.0,3,50.02435780516006,56.953806566675006
mocov3_vitb,1.0,real_random,2024.0,4,49.53549149128271,57.057063056850154
mocov3_vitb,1.0,real_medoids,2024.0,0,61.804363297424395,72.9115980022762
mocov3_vitb,1.0,real_medoids,2024.0,1,60.18524368118816,72.65516911761608
